	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3
Cluster-0.0	0	0	0	0	0	0	0	0	0	0	0	11
Cluster-1.0	0	0	0	0	0	0	0	0	0	0	0	11
Cluster-2.0	0	0	0	0	0	0	0	0	0	0	0	14
Cluster-3.0	0	0	0	0	0	0	0	0	0	0	0	20
Cluster-4.0	0	0	0	0	0	0	0	0	0	0	0	15
Cluster-5.0	0	0	0	0	0	0	0	0	0	0	0	15
Cluster-6.0	0	0	0	0	0	0	0	0	0	0	0	10
Cluster-7.0	0	0	0	0	0	0	0	0	0	0	12	0
Cluster-8.0	0	0	0	0	0	0	0	0	0	0	14	0
Cluster-9.0	0	0	0	0	0	0	0	0	0	0	30	0
Cluster-10.0	0	0	0	0	0	0	0	0	0	0	12	0
Cluster-10.1	0	0	0	0	0	0	0	0	0	0	35	0
Cluster-11.0	0	0	0	0	0	0	0	0	0	0	23	0
Cluster-12.0	0	2	0	0	0	0	0	0	1	0	12	0
Cluster-13.0	0	0	0	0	0	0	0	0	0	0	12	0
Cluster-14.0	0	0	0	0	0	0	0	0	0	0	15	0
Cluster-15.0	0	0	0	0	0	0	0	0	0	0	14	0
Cluster-16.0	0	0	0	0	0	0	0	0	0	2	9	0
Cluster-17.0	0	0	0	0	0	0	0	0	0	3	0	7
Cluster-18.0	0	0	0	0	0	0	0	0	0	5	7	0
Cluster-19.0	0	0	0	0	0	0	0	0	0	15	0	0
Cluster-20.0	0	0	0	0	0	0	0	0	0	6	4	0
Cluster-21.0	0	0	0	0	0	0	0	0	0	5	0	5
Cluster-22.0	0	0	0	0	0	0	0	0	0	10	5	2
Cluster-23.0	0	0	0	0	0	0	0	0	0	6	5	0
Cluster-24.0	0	0	0	0	0	0	0	0	0	3	0	10
Cluster-25.0	0	0	0	2	0	1	0	0	0	14	6	0
Cluster-26.0	0	0	0	0	0	0	0	0	0	11	0	0
Cluster-27.0	0	0	0	0	0	0	0	0	0	15	17	0
Cluster-28.0	0	0	0	0	0	0	0	0	0	9	13	0
Cluster-29.0	0	0	0	0	0	0	0	0	0	3	7	4
Cluster-30.0	0	0	0	0	0	0	0	0	0	5	13	0
Cluster-31.0	0	0	0	0	0	0	0	0	0	14	0	0
Cluster-32.0	0	0	0	0	0	0	0	0	11	3	0	1
Cluster-33.0	0	0	0	0	0	0	0	0	3	1	4	5
Cluster-34.0	0	0	0	0	0	0	0	0	0	2	5	1
Cluster-34.1	3	1	1	9	10	0	3	4	3	1	3	7
Cluster-35.0	0	0	0	0	0	0	0	0	10	0	0	0
Cluster-36.0	0	0	0	0	0	0	0	0	18	12	8	0
Cluster-37.0	0	0	0	0	0	0	0	0	46	0	9	13
Cluster-38.0	0	0	0	0	0	0	0	0	11	0	9	0
Cluster-39.0	0	0	0	0	0	0	0	0	5	6	0	0
Cluster-40.0	0	0	0	0	0	0	0	0	3	1	6	0
Cluster-41.0	0	0	0	0	0	0	0	0	1	3	4	4
Cluster-42.0	0	0	0	0	0	0	0	0	11	0	6	0
